Event,Impact_1D,Impact_1W,Description,Category
Fed Rate Hike (25bps),-1.5,-3.0,Short-term dip vs sustained borrowing cost pain,Economic
Fed Rate Cut (25bps),2.0,5.0,Immediate optimism + sustained growth,Economic
New Trade Tariffs,-2.0,-6.5,Initial shock + supply chain realization,Geopolitical
Regional War/Conflict,-3.0,-8.0,Panic sell-off + long-term instability,Geopolitical
Pandemic/Lockdown,-5.0,-15.0,Severe impact compounding over time,Black Swan
Tech Breakthrough,+3.0,+10.0,Hype cycle vs actual adoption,Sector
Oil Price Surge (Specific),+1.5,+4.0,Impacts energy stocks specifically,Economic
Supply Chain Crisis,-1.0,-5.0,Slow burn issue affecting earnings,Economic
Positive Earnings Surprise,+5.0,+3.0,Initial pop often fades slightly (profit taking),Sector
Regulatory Crackdown,-4.0,-9.0,Serious structural damage to business model,Sector
